MATERIAL_NAME,MONTH,FORECASTED_QUANTITY_MT,TREND_SLOPE
MAT-0013,2025-01-01,224.5298820352472,-0.23303638895434864
MAT-0013,2025-02-01,220.25020166506786,-0.23303638895434864
MAT-0013,2025-03-01,219.49678433910285,-0.23303638895434864
MAT-0013,2025-04-01,219.36414881075368,-0.23303638895434864
MAT-0013,2025-05-01,219.34079895832238,-0.23303638895434864
MAT-0013,2025-06-01,219.33668832812134,-0.23303638895434864
MAT-0013,2025-07-01,219.3359646712717,-0.23303638895434864
MAT-0013,2025-08-01,219.33583727493334,-0.23303638895434864
MAT-0013,2025-09-01,219.33581484741532,-0.23303638895434864
MAT-0013,2025-10-01,219.3358108991577,-0.23303638895434864
MAT-0013,2025-11-01,219.3358102040858,-0.23303638895434864
MAT-0013,2025-12-01,219.3358100817217,-0.23303638895434864
MAT-0268,2025-01-01,393.4108144213966,0.7171348763879404
MAT-0268,2025-02-01,431.7834918398382,0.7171348763879404
MAT-0268,2025-03-01,413.51227639463934,0.7171348763879404
MAT-0268,2025-04-01,422.2121466227312,0.7171348763879404
MAT-0268,2025-05-01,418.06968865584605,0.7171348763879404
MAT-0268,2025-06-01,420.04212704372003,0.7171348763879404
MAT-0268,2025-07-01,419.10294715944366,0.7171348763879404
MAT-0268,2025-08-01,419.5501392544931,0.7171348763879404
MAT-0268,2025-09-01,419.3372079798536,0.7171348763879404
MAT-0268,2025-10-01,419.43859556747316,0.7171348763879404
MAT-0268,2025-11-01,419.3903196956421,0.7171348763879404
MAT-0268,2025-12-01,419.4133063339059,0.7171348763879404
MAT-0145,2025-01-01,1292.3897228039302,-1.957697004030347
MAT-0145,2025-02-01,1164.7038735025264,-1.957697004030347
MAT-0145,2025-03-01,1281.4591619293947,-1.957697004030347
MAT-0145,2025-04-01,1174.6987225367475,-1.957697004030347
MAT-0145,2025-05-01,1272.3199230226705,-1.957697004030347
MAT-0145,2025-06-01,1183.0555959130434,-1.957697004030347
MAT-0145,2025-07-01,1264.6784406913507,-1.957697004030347
MAT-0145,2025-08-01,1190.0429283268024,-1.957697004030347
MAT-0145,2025-09-01,1258.2892596210418,-1.957697004030347
MAT-0145,2025-10-01,1195.8851628638067,-1.957697004030347
MAT-0145,2025-11-01,1252.9471502004808,-1.957697004030347
MAT-0145,2025-12-01,1200.769960432355,-1.957697004030347
MAT-0428,2025-01-01,763.022252226649,0.5379930335708395
MAT-0428,2025-02-01,799.1717719515833,0.5379930335708395
MAT-0428,2025-03-01,774.8538980083911,0.5379930335708395
MAT-0428,2025-04-01,791.2125937149096,0.5379930335708395
MAT-0428,2025-05-01,780.2080574695285,0.5379930335708395
MAT-0428,2025-06-01,787.6108370155562,0.5379930335708395
MAT-0428,2025-07-01,782.6309683700158,0.5379930335708395
MAT-0428,2025-08-01,785.9809386849015,0.5379930335708395
MAT-0428,2025-09-01,783.727405126207,0.5379930335708395
MAT-0428,2025-10-01,785.2433628878613,0.5379930335708395
MAT-0428,2025-11-01,784.22357424249,0.5379930335708395
MAT-0428,2025-12-01,784.909588660262,0.5379930335708395
MAT-0264,2025-01-01,253.65059036953278,3.782339581531032
MAT-0264,2025-02-01,458.71769281639695,3.782339581531032
MAT-0264,2025-03-01,358.94646358712305,3.782339581531032
MAT-0264,2025-04-01,407.4881265995978,3.782339581531032
MAT-0264,2025-05-01,383.87116741989377,3.782339581531032
MAT-0264,2025-06-01,395.36151872393685,3.782339581531032
MAT-0264,2025-07-01,389.77112192112634,3.782339581531032
MAT-0264,2025-08-01,392.4910158204432,3.782339581531032
MAT-0264,2025-09-01,391.16770674516937,3.782339581531032
MAT-0264,2025-10-01,391.8115358699532,3.782339581531032
MAT-0264,2025-11-01,391.498293899755,3.782339581531032
MAT-0264,2025-12-01,391.65069541145516,3.782339581531032
MAT-0415,2025-01-01,724.5650186637624,0.27665478556215595
MAT-0415,2025-02-01,743.1549685789485,0.27665478556215595
MAT-0415,2025-03-01,726.415489273025,0.27665478556215595
MAT-0415,2025-04-01,741.488696501224,0.27665478556215595
MAT-0415,2025-05-01,727.9158982085177,0.27665478556215595
MAT-0415,2025-06-01,740.1376404499334,0.27665478556215595
MAT-0415,2025-07-01,729.132468178577,0.27665478556215595
MAT-0415,2025-08-01,739.0421696212907,0.27665478556215595
MAT-0415,2025-09-01,730.1188942501894,0.27665478556215595
MAT-0415,2025-10-01,738.1539338332485,0.27665478556215595
MAT-0415,2025-11-01,730.9187137580712,0.27665478556215595
MAT-0415,2025-12-01,737.4337295206094,0.27665478556215595
MAT-0229,2025-01-01,272.63209439097545,7.015375444141202
MAT-0229,2025-02-01,344.50445912319475,7.015375444141202
MAT-0229,2025-03-01,374.25664492835375,7.015375444141202
MAT-0229,2025-04-01,386.57281907237615,7.015375444141202
MAT-0229,2025-05-01,391.6712056762801,7.015375444141202
MAT-0229,2025-06-01,393.78172682180025,7.015375444141202
MAT-0229,2025-07-01,394.655395268653,7.015375444141202
MAT-0229,2025-08-01,395.01705786400123,7.015375444141202
MAT-0229,2025-09-01,395.1667712173279,7.015375444141202
MAT-0229,2025-10-01,395.228746352309,7.015375444141202
MAT-0229,2025-11-01,395.2544014944227,7.015375444141202
MAT-0229,2025-12-01,395.2650216619638,7.015375444141202
MAT-0321,2024-12-01,31.907719649066816,-0.05978615723331532
MAT-0321,2025-01-01,30.160069875860387,-0.05978615723331532
MAT-0321,2025-02-01,30.275947871774065,-0.05978615723331532
MAT-0321,2025-03-01,30.268264576103025,-0.05978615723331532
MAT-0321,2025-04-01,30.268774017364095,-0.05978615723331532
